1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.061487,0.057959,0.055831,0.05448,0.053864,0.054188,0.055947,0.060038,0.067916,0.081773,0.10472,0.14104,0.19627,0.27738,0.3928,0.55236,0.76722,1.0497,1.4132,1.8719,2.4403,3.1336,3.9667,4.9548,6.1122,7.4532,8.9908,10.738,12.705,14.903,17.341,20.026,22.966,26.166,29.629,33.359,37.357,41.624,46.158,50.959,56.022,61.345,66.922,72.748,78.817,85.121,91.652,98.4,104.63
0.057521,0.052927,0.05043,0.049005,0.048808,0.050645,0.056107,0.06785,0.089945,0.12829,0.19098,0.2887,0.4349,0.64584,0.94056,1.3407,1.8701,2.5546,3.4216,4.4993,5.8164,7.4017,9.2835,11.489,14.045,16.975,20.301,24.046,28.225,32.855,37.949,43.518,49.57,56.109,63.14,70.663,78.677,87.177,96.158,105.61,115.53,125.9,136.71,147.95,159.6,171.64,184.06,196.83,208.58
0.054579,0.049428,0.047196,0.046705,0.048741,0.05558,0.07134,0.10254,0.15874,0.25322,0.40334,0.631,0.9625,1.4284,2.063,2.904,3.9914,5.3672,7.0741,9.155,11.652,14.606,18.056,22.037,26.584,31.725,37.486,43.891,50.956,58.697,67.123,76.242,86.056,96.564,107.76,119.65,132.2,145.42,159.28,173.76,188.86,204.53,220.77,237.55,254.83,272.6,290.82,309.44,326.44
0.052018,0.046455,0.045082,0.04728,0.05572,0.076319,0.1191,0.19919,0.33771,0.56246,0.90793,1.4155,2.1324,3.1111,4.4079,6.0817,8.1926,10.801,13.964,17.739,22.179,27.331,33.239,39.941,47.469,55.849,65.104,75.247,86.288,98.231,111.08,124.82,139.44,154.94,171.29,188.46,206.45,225.21,244.73,264.95,285.87,307.42,329.59,352.32,375.59,399.35,423.56,448.15,470.32
0.049721,0.044119,0.045112,0.05453,0.080316,0.13748,0.24973,0.45084,0.78517,1.3078,2.0832,3.1846,4.6914,6.6866,9.2549,12.48,16.443,21.221,26.881,33.488,41.095,49.747,59.482,70.326,82.3,95.414,109.67,125.07,141.59,159.23,177.95,197.73,218.54,240.35,263.11,286.77,311.31,336.66,362.79,389.64,417.16,445.3,474,503.22,532.91,563,593.45,624.17,651.45
0.047816,0.043475,0.051435,0.081014,0.15419,0.308,0.59667,1.0921,1.8825,3.0707,4.7694,7.099,10.182,14.137,19.08,25.114,32.334,40.821,50.639,61.843,74.468,88.54,104.07,121.05,139.48,159.33,180.57,203.17,227.08,252.24,278.61,306.12,334.72,364.34,394.91,426.38,458.66,491.7,525.42,559.76,594.64,630.01,665.8,701.94,738.37,775.03,811.85,848.72,880.84
0.046817,0.04785,0.076876,0.16434,0.36783,0.77505,1.5039,2.6988,4.5243,7.1582,10.781,15.571,21.696,29.305,38.528,49.471,62.214,76.814,93.304,111.7,131.98,154.13,178.11,203.86,231.31,260.4,291.03,323.14,356.61,391.37,427.32,464.37,502.41,541.36,581.12,621.6,662.71,704.37,746.48,788.97,831.75,874.74,917.88,961.09,1004.3,1047.4,1090.4,1133.2,1169.5
0.048322,0.067746,0.16136,0.4164,0.97574,2.0357,3.8368,6.6485,10.751,16.422,23.914,33.454,45.229,59.384,76.016,95.184,116.9,141.16,167.9,197.05,228.52,262.19,297.94,335.64,375.14,416.32,459.02,503.1,548.42,594.84,642.24,690.47,739.41,788.95,838.96,889.34,939.98,990.78,1041.6,1092.5,1143.2,1193.8,1244,1294,1343.5,1392.5,1441,1488.9,1528.3
0.057716,0.13805,0.43054,1.1668,2.6796,5.3785,9.714,16.138,25.07,36.874,51.832,70.154,91.967,117.32,146.18,178.49,214.1,252.86,294.56,339.01,385.97,435.23,486.54,539.68,594.43,650.58,707.91,766.24,825.38,885.16,945.4,1006,1066.7,1127.5,1188.2,1248.7,1308.8,1368.6,1427.9,1486.5,1544.6,1601.8,1658.3,1713.9,1768.6,1822.3,1875,1926.5,1967.2
0.094698,0.37701,1.2772,3.3682,7.3682,14.051,24.161,38.337,57.071,80.701,109.38,143.13,181.86,225.36,273.33,325.46,381.36,440.66,502.95,567.86,635.01,704.05,774.64,846.47,919.24,992.69,1066.6,1140.7,1214.8,1288.7,1362.2,1435.3,1507.7,1579.3,1650,1719.8,1788.5,1856,1922.3,1987.3,2051,2113.3,2174.1,2233.4,2291.3,2347.6,2402.3,2455.2,2494.7
0.23276,1.1835,3.9085,9.7117,19.981,35.971,58.659,88.674,126.29,171.48,223.94,283.22,348.71,419.76,495.67,575.73,659.26,745.64,834.25,924.55,1016,1108.3,1200.9,1293.5,1385.8,1477.5,1568.4,1658.3,1747,1834.2,1920,2004.2,2086.6,2167.2,2245.9,2322.7,2397.5,2470.3,2541,2609.6,2676.1,2740.5,2802.7,2862.9,2920.9,2976.7,3030.5,3081.9,3116.8
0.74589,3.886,11.957,27.587,53,89.682,138.3,198.78,270.48,352.4,443.22,541.64,646.32,755.98,869.45,985.64,1103.6,1222.6,1341.8,1460.7,1578.7,1695.4,1810.5,1923.6,2034.6,2143.1,2249.1,2352.5,2453,2550.7,2645.4,2737.3,2826.1,2911.9,2994.8,3074.7,3151.6,3225.5,3296.5,3364.6,3429.9,3492.3,3551.9,3608.8,3663,3714.5,3763.4,3809.4,3835.8
2.6555,12.849,36.085,76.599,136.66,216.54,314.98,429.74,558.1,697.32,844.57,997.51,1154.1,1312.4,1471.1,1629,1785.1,1938.6,2088.9,2235.6,2378.4,2516.9,2651.1,2780.8,2906,3026.5,3142.5,3253.9,3360.7,3463.1,3561,3654.7,3744,3829.3,3910.4,3987.5,4060.8,4130.3,4196,4258.2,4316.8,4372,4423.9,4472.5,4518,4560.4,4599.9,4636.1,4649.1
9.7726,42.163,106.6,206.52,340.33,503.16,688.78,890.84,1103.6,1322.2,1542.7,1762.1,1978.2,2189.3,2394.4,2592.6,2783.4,2966.6,3142,3309.6,3469.4,3621.7,3766.4,3903.9,4034.3,4157.9,4274.8,4385.3,4489.7,4588.1,4680.7,4767.8,4849.6,4926.2,4997.9,5064.8,5127.1,5185,5238.7,5288.2,5333.9,5375.7,5413.8,5448.5,5479.7,5507.7,5532.5,5553.9,5548.7
36.327,136.25,306.03,536.51,812.13,1116.5,1435.7,1758.9,2078.5,2389.4,2688.1,2972.9,3242.9,3497.9,3738,3963.6,4175.2,4373.4,4558.9,4732.3,4894.3,5045.4,5186.3,5317.5,5439.6,5553,5658.1,5755.5,5845.5,5928.6,6004.9,6075,6139.1,6197.6,6250.6,6298.4,6341.4,6379.6,6413.5,6443.1,6468.6,6490.3,6508.3,6522.8,6534,6541.9,6546.8,6548.3,6519.8
135.49,430.51,845.84,1329.2,1838,2343.1,2827.4,3281.8,3702.9,4090.7,4445.4,4769.6,5065.6,5335.9,5582.5,5807.6,6013.1,6200.6,6371.7,6527.7,6669.7,6799,6916.3,7022.7,7118.8,7205.4,7283.2,7352.6,7414.4,7468.8,7516.5,7557.8,7593.1,7622.8,7647.2,7666.5,7681.2,7691.5,7697.5,7699.7,7698,7692.9,7684.4,7672.8,7658.2,7640.8,7620.7,7597.6,7541.2
506.04,1316.7,2220.3,3095.5,3891.2,4592.9,5203.7,5733.3,6192.5,6592.5,6940.9,7245.9,7513.6,7749.3,7957,8140.1,8301.6,8443.8,8568.8,8678.2,8773.7,8856.3,8927.4,8987.9,9038.6,9080.4,9113.9,9139.8,9158.7,9171.1,9177.4,9178.1,9173.6,9164.3,9150.4,9132.4,9110.4,9084.8,9055.7,9023.5,8988.3,8950.4,8909.8,8866.9,8821.6,8774.3,8725,8673.3,8585.2
1891.4,3832.2,5415.5,6632.4,7561.1,8276.8,8837.5,9284,9644.8,9940.8,10184,10385,10553,10692,10806,10900,10975,11035,11081,11114,11136,11147,11150,11144,11131,11111,11085,11053,11016,10974,10928,10878,10824,10767,10707,10644,10579,10511,10441,10369,10296,10220,10143,10065,9985.8,9905.3,9823.8,9740.8,9618.7
7072.8,10257,11817,12654,13145,13455,13660,13800,13894,13958,13995,14011,14012,13998,13973,13936,13891,13837,13777,13709,13636,13557,13474,13387,13296,13201,13104,13004,12901,12797,12690,12582,12473,12362,12251,12138,12025,11912,11797,11683,11568,11453,11337,11222,11107,10992,10877,10761,10605
26455,23133,21434,20453,19819,19363,19006,18708,18449,18216,17997,17790,17592,17398,17209,17023,16838,16656,16474,16294,16114,15936,15758,15581,15405,15230,15056,14883,14711,14541,14371,14203,14036,13870,13706,13543,13381,13221,13062,12904,12748,12593,12440,12288,12138,11989,11841,11694,11504
31637,29557,27833,26469,25392,24522,23800,23183,22643,22162,21721,21313,20930,20568,20223,19892,19573,19264,18965,18673,18390,18113,17843,17578,17320,17066,16818,16575,16336,16102,15872,15646,15424,15206,14992,14781,14574,14371,14170,13973,13779,13588,13400,13214,13032,12852,12675,12500,12279
33021,32070,31020,29988,29030,28154,27356,26628,25958,25339,24758,24212,23695,23204,22736,22287,21856,21442,21042,20656,20283,19921,19571,19231,18901,18580,18268,17964,17667,17379,17097,16822,16554,16291,16035,15784,15539,15298,15063,14833,14607,14385,14168,13955,13746,13540,13339,13140,12895
33390,32947,32371,31706,30999,30277,29557,28850,28162,27500,26858,26240,25646,25076,24527,23999,23491,23002,22531,22077,21639,21216,20807,20412,20029,19659,19300,18951,18613,18284,17965,17654,17352,17057,16770,16490,16217,15950,15689,15435,15186,14943,14705,14472,14244,14020,13801,13585,13323
33482,33212,32840,32369,31822,31217,30575,29912,29242,28577,27919,27276,26649,26042,25455,24889,24342,23815,23308,22818,22346,21891,21452,21027,20617,20220,19836,19464,19104,18754,18415,18085,17765,17453,17150,16854,16567,16286,16012,15745,15484,15230,14981,14737,14499,14266,14038,13814,13543
33482,33212,32840,32369,31822,31217,30575,29912,29242,28577,27919,27276,26649,26042,25455,24889,24342,23815,23308,22818,22346,21891,21452,21027,20617,20220,19836,19464,19104,18754,18415,18085,17765,17453,17150,16854,16567,16286,16012,15745,15484,15230,14981,14737,14499,14266,14038,13814,13543
33390,32947,32371,31706,30999,30277,29557,28850,28162,27500,26858,26240,25646,25076,24527,23999,23491,23002,22531,22077,21639,21216,20807,20412,20029,19659,19300,18951,18613,18284,17965,17654,17352,17057,16770,16490,16217,15950,15689,15435,15186,14943,14705,14472,14244,14020,13801,13585,13323
33021,32070,31020,29988,29030,28154,27356,26628,25958,25339,24758,24212,23695,23204,22736,22287,21856,21442,21042,20656,20283,19921,19571,19231,18901,18580,18268,17964,17667,17379,17097,16822,16554,16291,16035,15784,15539,15298,15063,14833,14607,14385,14168,13955,13746,13540,13339,13140,12895
31637,29557,27833,26469,25392,24522,23800,23183,22643,22162,21721,21313,20930,20568,20223,19892,19573,19264,18965,18673,18390,18113,17843,17578,17320,17066,16818,16575,16336,16102,15872,15646,15424,15206,14992,14781,14574,14371,14170,13973,13779,13588,13400,13214,13032,12852,12675,12500,12279
26455,23133,21434,20453,19819,19363,19006,18708,18449,18216,17997,17790,17592,17398,17209,17023,16838,16656,16474,16294,16114,15936,15758,15581,15405,15230,15056,14883,14711,14541,14371,14203,14036,13870,13706,13543,13381,13221,13062,12904,12748,12593,12440,12288,12138,11989,11841,11694,11504
7072.8,10257,11817,12654,13145,13455,13660,13800,13894,13958,13995,14011,14012,13998,13973,13936,13891,13837,13777,13709,13636,13557,13474,13387,13296,13201,13104,13004,12901,12797,12690,12582,12473,12362,12251,12138,12025,11912,11797,11683,11568,11453,11337,11222,11107,10992,10877,10761,10605
1891.4,3832.2,5415.5,6632.4,7561.1,8276.8,8837.5,9284,9644.8,9940.8,10184,10385,10553,10692,10806,10900,10975,11035,11081,11114,11136,11147,11150,11144,11131,11111,11085,11053,11016,10974,10928,10878,10824,10767,10707,10644,10579,10511,10441,10369,10296,10220,10143,10065,9985.8,9905.3,9823.8,9740.8,9618.7
506.04,1316.7,2220.3,3095.5,3891.2,4592.9,5203.7,5733.3,6192.5,6592.5,6940.9,7245.9,7513.6,7749.3,7957,8140.1,8301.6,8443.8,8568.8,8678.2,8773.7,8856.3,8927.4,8987.9,9038.6,9080.4,9113.9,9139.8,9158.7,9171.1,9177.4,9178.1,9173.6,9164.3,9150.4,9132.4,9110.4,9084.8,9055.7,9023.5,8988.3,8950.4,8909.8,8866.8,8821.6,8774.3,8725,8673.3,8585.2
135.49,430.51,845.84,1329.2,1838,2343.1,2827.4,3281.8,3702.9,4090.7,4445.4,4769.6,5065.6,5335.9,5582.5,5807.6,6013.1,6200.6,6371.7,6527.7,6669.7,6799,6916.3,7022.7,7118.8,7205.4,7283.2,7352.6,7414.3,7468.8,7516.5,7557.8,7593.1,7622.8,7647.2,7666.5,7681.2,7691.5,7697.5,7699.7,7698,7692.9,7684.4,7672.8,7658.2,7640.8,7620.7,7597.7,7541.2
36.327,136.25,306.03,536.51,812.13,1116.5,1435.7,1758.9,2078.5,2389.4,2688.1,2972.9,3242.9,3497.9,3738,3963.6,4175.2,4373.4,4558.9,4732.3,4894.3,5045.4,5186.3,5317.5,5439.6,5553,5658.1,5755.5,5845.5,5928.6,6004.9,6075,6139.1,6197.5,6250.5,6298.4,6341.3,6379.6,6413.5,6443,6468.6,6490.3,6508.3,6522.8,6534,6541.9,6546.8,6548.4,6519.8
9.7726,42.163,106.6,206.52,340.33,503.16,688.78,890.84,1103.6,1322.2,1542.7,1762.1,1978.2,2189.3,2394.4,2592.6,2783.4,2966.6,3142,3309.6,3469.4,3621.7,3766.4,3903.9,4034.3,4157.9,4274.8,4385.3,4489.7,4588.1,4680.7,4767.8,4849.6,4926.2,4997.9,5064.8,5127.1,5185,5238.7,5288.2,5333.9,5375.7,5413.8,5448.5,5479.7,5507.7,5532.5,5553.9,5548.7
2.6555,12.849,36.085,76.599,136.66,216.54,314.98,429.74,558.1,697.32,844.57,997.51,1154.1,1312.4,1471.1,1629,1785.1,1938.6,2088.9,2235.6,2378.4,2516.9,2651.1,2780.8,2906,3026.5,3142.5,3253.8,3360.7,3463.1,3561,3654.7,3744,3829.3,3910.4,3987.5,4060.8,4130.3,4196,4258.2,4316.8,4372,4423.9,4472.6,4518.1,4560.5,4599.9,4636.1,4649.2
0.74588,3.8859,11.957,27.587,53,89.681,138.3,198.78,270.48,352.4,443.22,541.64,646.32,755.98,869.45,985.64,1103.6,1222.6,1341.8,1460.7,1578.7,1695.4,1810.5,1923.6,2034.6,2143.1,2249.1,2352.4,2453,2550.7,2645.4,2737.3,2826.1,2911.9,2994.8,3074.7,3151.6,3225.5,3296.5,3364.6,3429.9,3492.3,3552,3608.8,3663,3714.6,3763.5,3809.6,3835.9
0.23274,1.1834,3.9083,9.7115,19.981,35.97,58.658,88.673,126.29,171.48,223.94,283.22,348.71,419.76,495.67,575.73,659.26,745.63,834.24,924.54,1016,1108.3,1200.9,1293.5,1385.8,1477.5,1568.4,1658.3,1747,1834.2,1920,2004.2,2086.6,2167.2,2245.9,2322.7,2397.5,2470.3,2541,2609.6,2676.2,2740.6,2802.8,2863,2921,2976.9,3030.6,3082.1,3117.1
0.094643,0.37688,1.277,3.3679,7.3677,14.051,24.16,38.336,57.07,80.7,109.38,143.13,181.86,225.35,273.33,325.46,381.36,440.65,502.95,567.85,635,704.04,774.63,846.46,919.23,992.69,1066.6,1140.7,1214.8,1288.7,1362.2,1435.3,1507.7,1579.3,1650.1,1719.8,1788.5,1856.1,1922.4,1987.4,2051.1,2113.4,2174.3,2233.7,2291.5,2347.9,2402.6,2455.6,2495.2
0.057605,0.13783,0.43021,1.1663,2.6791,5.3778,9.7132,16.137,25.069,36.873,51.83,70.153,91.965,117.32,146.18,178.48,214.1,252.85,294.56,339,385.97,435.22,486.53,539.67,594.42,650.57,707.91,766.24,825.39,885.17,945.42,1006,1066.7,1127.5,1188.2,1248.7,1308.9,1368.7,1428,1486.7,1544.8,1602.1,1658.6,1714.3,1769,1822.8,1875.6,1927.1,1968
0.048114,0.067388,0.16087,0.41581,0.97505,2.0349,3.8359,6.6475,10.75,16.421,23.912,33.452,45.227,59.381,76.014,95.181,116.9,141.15,167.89,197.04,228.51,262.18,297.93,335.63,375.14,416.32,459.03,503.11,548.44,594.88,642.28,690.53,739.49,789.05,839.09,889.5,940.18,991.03,1041.9,1092.8,1143.6,1194.3,1244.6,1294.6,1344.3,1393.4,1442.1,1490,1529.6
0.046464,0.047296,0.076199,0.1636,0.36706,0.77427,1.5031,2.698,4.5234,7.1571,10.78,15.569,21.694,29.303,38.525,49.467,62.21,76.81,93.301,111.69,131.98,154.13,178.11,203.86,231.32,260.42,291.06,323.18,356.67,391.45,427.43,464.5,502.58,541.57,581.38,621.92,663.1,704.83,747.03,789.62,832.51,875.63,918.92,962.28,1005.7,1049,1092.2,1135.2,1171.7
0.047268,0.042679,0.050552,0.080146,0.15339,0.30727,0.59599,1.0914,1.8817,3.0698,4.7683,7.0976,10.18,14.135,19.077,25.112,32.332,40.819,50.64,61.845,74.474,88.551,104.09,121.08,139.52,159.39,180.65,203.27,227.21,252.41,278.82,306.39,335.06,364.75,395.41,426.98,459.38,492.55,526.42,560.92,596,631.58,667.6,703.99,740.7,777.66,814.81,852.03,884.52
0.048927,0.043049,0.044026,0.053563,0.079508,0.13679,0.24912,0.45022,0.78448,1.307,2.0822,3.1835,4.6902,6.6855,9.2544,12.481,16.446,21.225,26.89,33.503,41.118,49.782,59.532,70.396,82.395,95.541,109.84,125.28,141.86,159.57,178.38,198.26,219.19,241.13,264.04,287.88,312.62,338.2,364.58,391.71,419.54,448.02,477.1,506.74,536.87,567.44,598.42,629.68,657.53
0.05092,0.04508,0.043782,0.046195,0.054844,0.075573,0.11839,0.19844,0.33691,0.56163,0.90718,1.415,2.1325,3.1124,4.4112,6.0882,8.2039,10.819,13.992,17.781,22.239,27.415,33.354,40.095,47.672,56.115,65.445,75.679,86.83,98.904,111.9,125.82,140.65,156.38,173,190.49,208.81,227.96,247.9,268.59,290.02,312.14,334.91,358.31,382.29,406.82,431.84,457.3,480.35
0.053089,0.047669,0.045584,0.045328,0.04753,0.054419,0.070137,0.10127,0.1575,0.25219,0.4029,0.63173,0.96529,1.4345,2.0743,2.9229,4.0214,5.4126,7.1406,9.2498,11.784,14.787,18.298,22.357,27,32.259,38.163,44.738,52.006,59.985,68.688,78.126,88.305,99.228,110.89,123.3,136.44,150.3,164.87,180.13,196.07,212.66,229.89,247.72,266.15,285.12,304.63,324.61,342.95
0.05544,0.050502,0.048088,0.04675,0.046522,0.048222,0.053519,0.065193,0.087492,0.12656,0.19083,0.29146,0.44251,0.66108,0.96727,1.384,1.9369,2.6539,3.5646,4.7001,6.0925,7.7743,9.7776,12.134,14.875,18.029,21.624,25.685,30.237,35.299,40.89,47.026,53.719,60.98,68.817,77.234,86.233,95.815,105.98,116.71,128.01,139.88,152.28,165.22,178.68,192.64,207.09,221.99,235.81
0.058142,0.05373,0.051209,0.049492,0.048467,0.048394,0.049888,0.054039,0.062603,0.078233,0.10471,0.14726,0.21275,0.30988,0.44927,0.64352,0.90717,1.2566,1.7096,2.2858,3.0056,3.8904,4.9621,6.2429,7.7548,9.5196,11.558,13.891,16.537,19.515,22.839,26.527,30.589,35.039,39.885,45.136,50.797,56.874,63.368,70.28,77.61,85.354,93.51,102.07,111.03,120.38,130.11,140.21,149.65
0.061846,0.058433,0.056305,0.05483,0.053886,0.053504,0.053856,0.055285,0.058388,0.064117,0.073889,0.089732,0.11439,0.15143,0.20541,0.28186,0.38733,0.5294,0.71658,0.95825,1.2645,1.6462,2.1144,2.6808,3.3572,4.1552,5.0865,6.1627,7.3947,8.7931,10.368,12.128,14.083,16.239,18.605,21.185,23.985,27.01,30.262,33.743,37.456,41.401,45.577,49.984,54.619,59.48,64.562,69.864,74.835